home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,player_id,player,squad,start
Athletic Club,Barcelona,1565982000,9,gh GHA,FW,25-062,87,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,6a99e0b1,Iñaki Williams,Athletic Club,True
Athletic Club,Barcelona,1565982000,20,es ESP,FW,38-186,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,293211e1,Aritz Aduriz,Athletic Club,False
Athletic Club,Barcelona,1565982000,10,es ESP,LW,26-240,90,1,0,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,c05dfb74,Iker Muniain,Athletic Club,True
Athletic Club,Barcelona,1565982000,18,es ESP,RW,30-124,65,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,9f323c71,Óscar de Marcos,Athletic Club,True
Athletic Club,Barcelona,1565982000,34,es ESP,"AM,RW",19-113,25,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,bdb624a3,Oihan Sancet,Athletic Club,False
Athletic Club,Barcelona,1565982000,22,es ESP,"AM,RW",33-036,90,1,0,0,1,0,0,2,0.0,2,1,0,1,2,3,3,0,b418dbd4,Raúl García,Athletic Club,True
Athletic Club,Barcelona,1565982000,14,es ESP,DM,29-084,90,5,3,1,3,1,4,5,80.0,1,0,0,0,2,7,5,0,240d3a0b,Dani García,Athletic Club,True
Athletic Club,Barcelona,1565982000,8,es ESP,DM,23-290,80,0,0,0,0,0,0,3,0.0,3,2,0,2,1,1,1,1,88050721,Unai López,Athletic Club,True
Athletic Club,Barcelona,1565982000,7,es ESP,DM,32-178,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,b037bd4f,Beñat Etxebarria,Athletic Club,False
Athletic Club,Barcelona,1565982000,17,es ESP,LB,29-187,90,0,0,0,0,0,0,0,,0,0,0,0,4,4,0,0,b6e50615,Yuri Berchiche,Athletic Club,True
