home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,player_id,player,squad,start
Atlético,Pumas UNAM,1563660000,22,es ESP,FW,26-159,90,0,0,0,0,2,1,1,0,1,0,0,0,4,5,1,83.3,040e5ca4,Ian Gonzalez Nieto,Atlético,True
Atlético,Pumas UNAM,1563660000,9,ar ARG,"LW,RW",24-331,90,0,0,0,3,0,2,3,0,0,0,0,0,2,0,2,0.0,0cab947b,Nicolás Ibáñez,Atlético,True
Atlético,Pumas UNAM,1563660000,10,ar ARG,RW,26-182,69,0,0,0,0,0,0,4,1,0,0,0,0,1,0,1,0.0,fac896b0,Ricardo Centurión,Atlético,True
Atlético,Pumas UNAM,1563660000,2,mx MEX,"LW,RW",27-211,21,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,d06a7432,Juan David Castro,Atlético,False
Atlético,Pumas UNAM,1563660000,15,mx MEX,LM,26-156,90,0,0,0,1,1,0,5,1,1,0,0,0,3,1,1,50.0,5f77ed34,Jorge Sánchez,Atlético,True
Atlético,Pumas UNAM,1563660000,6,mx MEX,CM,34-199,79,0,0,0,2,1,0,0,0,0,0,0,0,5,0,2,0.0,4d001bbe,Noé Maya,Atlético,True
Atlético,Pumas UNAM,1563660000,17,py PAR,CM,25-248,11,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,50.0,077f13d1,Diego Valdez,Atlético,False
Atlético,Pumas UNAM,1563660000,18,uy URU,RM,28-193,90,0,0,0,2,3,0,2,0,1,0,0,0,3,1,0,100.0,437c560b,Camilo Mayada,Atlético,True
Atlético,Pumas UNAM,1563660000,28,mx MEX,LB,29-069,90,0,0,0,1,2,1,2,0,4,0,0,0,2,1,1,50.0,aa42085e,Dionicio Escalante,Atlético,True
Atlético,Pumas UNAM,1563660000,20,es ESP,CB,25-166,90,0,0,0,0,2,0,0,2,4,0,0,0,6,6,1,85.7,aa98e19a,Unai Bilbao,Atlético,True
