home_team,away_team,datetime,player_id,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player_id,sca_1_player,sca_1_type,sca_2_player_id,sca_2_player,sca_2_type,minute,pen
Fiorentina,Torino,1600531200,d995ed27,Giacomo Bonaventura, Fiorentina,0.03,,Blocked,24,Right Foot,,528492ea,Alfred Duncan,Pass (Live),d995ed27,Giacomo Bonaventura,Pass (Live),4,False
Fiorentina,Torino,1600531200,528492ea,Alfred Duncan, Fiorentina,0.03,,Blocked,26,Left Foot,,,,,,,,6,False
Fiorentina,Torino,1600531200,58e933d2,Christian Kouamé, Fiorentina,0.13,,Off Target,6,Head,,9e1577aa,Cristiano Biraghi,Pass (Live),528492ea,Alfred Duncan,Pass (Live),18,False
Fiorentina,Torino,1600531200,dc1c2fce,Álex Berenguer, Torino,0.40,0.27,Saved,12,Left Foot,Volley,d023d70f,Karol Linetty,Pass (Live),,,,22,False
Fiorentina,Torino,1600531200,9592289a,Simone Zaza, Torino,0.04,0.39,Saved,21,Left Foot,Volley,dc1c2fce,Álex Berenguer,Shot,,,,22,False
Fiorentina,Torino,1600531200,58e933d2,Christian Kouamé, Fiorentina,0.37,0.34,Saved,6,Head,,e94d79e3,Martín Cáceres,Pass (Live),d995ed27,Giacomo Bonaventura,Fouled,43,False
Fiorentina,Torino,1600531200,d705ba44,Andrea Belotti, Torino,0.07,,Blocked,24,Right Foot,Free kick,d705ba44,Andrea Belotti,Fouled,93cf32a8,Nicolas Nkoulou,Pass (Live),45,False
Fiorentina,Torino,1600531200,d705ba44,Andrea Belotti, Torino,0.03,,Blocked,23,Right Foot,Volley,d705ba44,Andrea Belotti,Shot,,,,45,False
Fiorentina,Torino,1600531200,5fd5ed86,Gleison Bremer, Torino,0.10,,Off Target,11,Head,,d705ba44,Andrea Belotti,Shot,,,,45,False
Fiorentina,Torino,1600531200,58e933d2,Christian Kouamé, Fiorentina,0.43,0.86,Saved,6,Head,,9e1577aa,Cristiano Biraghi,Pass (Live),528492ea,Alfred Duncan,Pass (Live),45+1,False
