home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,player_id,player,squad,start
Bayern Munich,Schalke 04,1600453800,9,pl POL,FW,32-028,90,27,27,0,0,0,0,0,0,0,0,0,0,21,0,2,8d78e732,Robert Lewandowski,Bayern Munich,True
Bayern Munich,Schalke 04,1600453800,7,de GER,LW,25-066,72,40,37,1,0,0,0,2,1,0,0,0,0,32,2,0,88e357ef,Serge Gnabry,Bayern Munich,True
Bayern Munich,Schalke 04,1600453800,42,de GER,LW,17-205,18,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,2c0558b8,Jamal Musiala,Bayern Munich,False
Bayern Munich,Schalke 04,1600453800,10,de GER,RW,24-251,72,19,18,1,0,0,0,0,1,0,0,0,0,15,0,0,2b114be3,Leroy Sané,Bayern Munich,True
Bayern Munich,Schalke 04,1600453800,11,fr FRA,RW,21-033,18,10,10,0,0,0,0,0,0,0,0,0,0,9,0,0,5722eced,Mickaël Cuisance,Bayern Munich,False
Bayern Munich,Schalke 04,1600453800,25,de GER,AM,31-005,82,49,42,7,1,0,0,2,4,1,0,0,0,34,0,2,3c6089ab,Thomas Müller,Bayern Munich,True
Bayern Munich,Schalke 04,1600453800,14,nl NED,AM,19-119,8,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,028e70b9,Joshua Zirkzee,Bayern Munich,False
Bayern Munich,Schalke 04,1600453800,6,de GER,DM,25-223,90,72,61,11,2,3,2,5,1,8,3,1,0,66,0,0,49296448,Joshua Kimmich,Bayern Munich,True
Bayern Munich,Schalke 04,1600453800,18,de GER,DM,25-225,50,35,34,1,1,0,0,0,0,0,0,0,0,31,0,1,cc86b9a3,Leon Goretzka,Bayern Munich,True
Bayern Munich,Schalke 04,1600453800,24,fr FRA,DM,26-046,40,31,30,1,1,0,0,0,0,0,0,0,0,28,0,1,652d4c37,Corentin Tolisso,Bayern Munich,False
Bayern Munich,Schalke 04,1600453800,21,fr FRA,LB,24-217,90,66,58,8,2,0,1,5,6,0,0,0,0,52,0,3,c3ee18ef,Lucas Hernández,Bayern Munich,True
Bayern Munich,Schalke 04,1600453800,17,de GER,CB,32-015,72,65,62,2,2,0,1,1,0,0,0,0,0,60,1,0,2db2fd7b,Jérôme Boateng,Bayern Munich,True
Bayern Munich,Schalke 04,1600453800,41,us USA,CB,20-174,18,20,19,1,1,0,0,0,0,0,0,0,0,19,0,0,0a3d6d2b,Chris Richards,Bayern Munich,False
Bayern Munich,Schalke 04,1600453800,4,de GER,CB,25-015,90,98,95,3,2,0,1,0,1,0,0,0,0,91,0,0,e33c06cf,Niklas Süle,Bayern Munich,True
Bayern Munich,Schalke 04,1600453800,5,fr FRA,RB,24-174,90,77,68,9,0,0,0,2,9,0,0,0,0,68,0,2,45a03961,Benjamin Pavard,Bayern Munich,True
Bayern Munich,Schalke 04,1600453800,1,de GER,GK,34-175,90,37,35,2,1,0,0,0,0,0,0,0,0,37,0,0,8778c910,Manuel Neuer,Bayern Munich,True
Köln,Hoffenheim,1600522200,9,se SWE,FW,29-066,90,29,25,4,0,0,0,1,0,0,0,0,0,21,0,1,b4cf5806,Sebastian Andersson,Köln,True
Köln,Hoffenheim,1600522200,29,de GER,LW,18-116,70,19,19,0,0,0,0,1,0,0,0,0,0,13,0,1,fd53759d,Jan Thielmann,Köln,True
Köln,Hoffenheim,1600522200,21,tr TUR,"LW,AM",22-252,20,18,15,3,2,0,0,3,1,0,0,0,0,14,0,0,15413fa5,Salih Özcan,Köln,False
Köln,Hoffenheim,1600522200,20,de GER,RW,22-323,70,18,15,3,1,0,0,3,1,1,1,0,0,7,0,0,1ae836b1,Elvis Rexhbeçaj,Köln,True
Köln,Hoffenheim,1600522200,24,de GER,RW,30-116,20,6,5,1,0,0,0,0,1,0,0,0,0,5,0,0,809940aa,Dominick Drexler,Köln,False
Köln,Hoffenheim,1600522200,18,sk SVK,AM,25-289,88,36,36,0,0,0,2,1,0,0,0,0,0,26,0,0,79ca3e23,Ondrej Duda,Köln,True
Köln,Hoffenheim,1600522200,3,de GER,LW,19-159,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,e27de4fa,Noah Katterbach,Köln,False
Köln,Hoffenheim,1600522200,14,de GER,DM,30-115,90,31,30,1,1,0,0,0,0,0,0,0,0,23,0,0,c2009df3,Jonas Hector,Köln,True
Köln,Hoffenheim,1600522200,28,tn TUN,DM,25-132,85,53,49,4,4,0,0,0,0,0,0,0,0,47,0,1,c2211709,Ellyes Skhiri,Köln,True
Köln,Hoffenheim,1600522200,30,dk DEN,DM,28-158,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,68635c10,Frederik Sørensen,Köln,False
Köln,Hoffenheim,1600522200,23,de GER,LB,23-226,90,58,50,8,1,0,0,6,7,0,0,0,0,50,0,0,2b83fa49,Jannes Horn,Köln,True
Köln,Hoffenheim,1600522200,5,de GER,CB,30-128,90,54,50,4,3,0,0,0,1,0,0,0,0,48,0,0,b0a0698b,Rafael Czichos,Köln,True
Köln,Hoffenheim,1600522200,33,be BEL,CB,21-181,90,50,47,3,1,0,0,0,0,0,0,0,0,41,0,2,01834aa0,Sebastiaan Bornauw,Köln,True
Köln,Hoffenheim,1600522200,6,de GER,RB,31-003,45,24,20,4,0,0,0,1,4,0,0,0,0,17,0,0,4114f306,Marco Höger,Köln,True
Köln,Hoffenheim,1600522200,19,nl NED,RB,25-117,45,23,22,1,1,0,0,0,0,0,0,0,0,14,0,0,76b2817e,Kingsley Ehizibue,Köln,False
Köln,Hoffenheim,1600522200,1,de GER,GK,27-130,90,57,49,8,1,0,1,0,0,0,0,0,0,50,0,0,3cd9e95a,Timo Horn,Köln,True
Union Berlin,Augsburg,1600522200,32,dk DEN,"FW,RW",24-259,85,23,22,1,0,0,0,1,0,0,0,0,0,16,0,0,271b8617,Marcus Ingvartsen,Union Berlin,True
Union Berlin,Augsburg,1600522200,8,de GER,RW,24-157,5,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,4b6dd263,Joshua Mees,Union Berlin,False
Union Berlin,Augsburg,1600522200,15,de GER,LW,27-174,90,25,25,0,0,0,0,7,0,0,0,0,0,16,0,2,ab5b7dc1,Marius Bülter,Union Berlin,True
Union Berlin,Augsburg,1600522200,27,sr SUR,RW,25-223,70,18,18,0,0,0,0,0,0,0,0,0,0,11,0,0,8eb55dbb,Sheraldo Becker,Union Berlin,True
Union Berlin,Augsburg,1600522200,10,de GER,LM,32-184,20,11,11,0,0,0,0,1,0,0,0,0,0,8,0,0,f9446dcd,Max Kruse,Union Berlin,False
Union Berlin,Augsburg,1600522200,21,de GER,LM,25-254,70,16,14,2,0,0,0,1,1,0,0,0,0,10,0,0,924f9191,Grischa Prömel,Union Berlin,True
Union Berlin,Augsburg,1600522200,36,de GER,FW,23-249,20,3,1,2,0,0,0,0,0,0,0,0,0,2,0,0,f956479d,Cedric Teuchert,Union Berlin,False
Union Berlin,Augsburg,1600522200,30,de GER,CM,25-363,90,74,72,1,1,0,1,0,0,0,0,0,0,59,1,0,e0b113a7,Robert Andrich,Union Berlin,True
Union Berlin,Augsburg,1600522200,34,de GER,RM,35-036,24,11,11,0,0,0,0,1,0,0,0,0,0,6,0,1,a4f94a0d,Christian Gentner,Union Berlin,True
Union Berlin,Augsburg,1600522200,33,de GER,RM,29-352,66,19,19,0,0,0,0,2,0,0,0,0,0,16,0,1,a8db7ebb,Sebastian Griesbeck,Union Berlin,False
Union Berlin,Augsburg,1600522200,25,de GER,LB,25-363,85,71,59,12,1,0,0,5,11,0,0,0,0,54,0,0,bbd86530,Christopher Lenz,Union Berlin,True
Union Berlin,Augsburg,1600522200,23,de GER,LB,28-359,5,14,10,4,1,0,0,3,3,0,0,0,0,12,0,0,7242b495,Niko Gießelmann,Union Berlin,False
Union Berlin,Augsburg,1600522200,31,de GER,CB,28-120,90,111,108,3,3,0,4,0,0,0,0,0,0,101,0,0,6bd5cd5d,Robin Knoche,Union Berlin,True
Union Berlin,Augsburg,1600522200,5,de GER,CB,24-281,90,85,83,0,0,0,1,0,0,0,0,0,0,68,2,0,b77f44a4,Marvin Friedrich,Union Berlin,True
Union Berlin,Augsburg,1600522200,28,at AUT,RB,33-208,90,77,56,20,1,0,0,14,11,8,5,3,0,55,1,3,056d2d95,Christopher Trimmel,Union Berlin,True
Union Berlin,Augsburg,1600522200,1,de GER,GK,33-193,90,42,34,8,2,0,0,0,1,0,0,0,0,35,0,0,7fe12375,Andreas Luthe,Union Berlin,True
Stuttgart,Freiburg,1600522200,10,de GER,"FW,CM",30-211,90,50,44,6,1,0,0,3,4,1,0,1,0,40,0,3,d3096421,Daniel Didavi,Stuttgart,True
Stuttgart,Freiburg,1600522200,31,de GER,FW,20-075,77,13,9,4,0,0,0,0,0,0,0,0,0,10,0,0,2b7c56b4,Mateo Klimowicz,Stuttgart,True
Stuttgart,Freiburg,1600522200,18,ma MAR,FW,29-363,13,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,5723931e,Hamadi Al Ghaddioui,Stuttgart,False
Stuttgart,Freiburg,1600522200,14,cd COD,LW,21-349,90,25,25,0,0,0,0,2,0,0,0,0,0,17,0,0,de4cac2d,Silas Katompa,Stuttgart,True
Stuttgart,Freiburg,1600522200,30,de GER,RW,19-343,77,21,19,2,0,0,0,1,2,0,0,0,0,16,0,1,fc62fdf4,Roberto Massimo,Stuttgart,True
Stuttgart,Freiburg,1600522200,29,gn GUI,RW,17-338,13,9,8,1,0,0,0,0,1,0,0,0,0,8,0,0,c51e68be,Alkhaly Momo Cissé,Stuttgart,False
Stuttgart,Freiburg,1600522200,23,be BEL,"CM,DM",22-185,90,44,43,1,0,0,0,2,1,0,0,0,0,34,0,1,a572e291,Orel Mangala,Stuttgart,True
Stuttgart,Freiburg,1600522200,8,de GER,CM,33-100,59,29,27,2,1,0,0,2,1,0,0,0,0,22,0,2,68829001,Gonzalo Castro,Stuttgart,True
Stuttgart,Freiburg,1600522200,21,de GER,CM,28-010,31,35,25,10,3,0,0,8,1,6,5,1,0,24,0,1,0cddeaa7,Philipp Klement,Stuttgart,False
Stuttgart,Freiburg,1600522200,3,jp JPN,"DM,CB",27-223,90,74,74,0,0,1,0,0,0,0,0,0,0,65,0,0,c149016b,Wataru Endo,Stuttgart,True
Stuttgart,Freiburg,1600522200,4,de GER,CB,25-235,90,72,61,11,1,0,1,0,10,0,0,0,0,53,0,0,815c314f,Marc-Oliver Kempf,Stuttgart,True
Stuttgart,Freiburg,1600522200,35,pl POL,CB,28-248,64,67,64,3,3,0,0,0,0,0,0,0,0,62,0,1,463503e2,Marcin Kamiński,Stuttgart,True
Stuttgart,Freiburg,1600522200,9,at AUT,FW,23-074,26,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0,15f24fe7,Sasa Kalajdzic,Stuttgart,False
Stuttgart,Freiburg,1600522200,2,de GER,CB,24-061,90,113,106,7,2,0,2,3,5,0,0,0,0,92,0,2,5e66fa06,Waldemar Anton,Stuttgart,True
Stuttgart,Freiburg,1600522200,1,ch SUI,GK,22-288,90,39,32,7,5,0,0,0,0,0,0,0,0,37,0,0,cd59b9df,Gregor Kobel,Stuttgart,True
Werder Bremen,Hertha BSC,1600522200,8,jp JPN,FW,30-124,45,14,14,0,0,0,0,0,0,0,0,0,0,8,0,1,f69fba57,Yuya Osako,Werder Bremen,True
Werder Bremen,Hertha BSC,1600522200,10,de GER,"LM,FW",26-275,45,21,21,0,0,0,0,3,0,0,0,0,0,14,0,0,dc62fbee,Leonardo Bittencourt,Werder Bremen,False
