home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,player_id,player,squad,start
Go Ahead Eagles,Heerenveen,1628877600,9,se SWE,FW,22-339,72,30,5,6,9,15,4,30,0,0,,0,,16,75,28,2,1,1,1,0,19,8,2eeae3a7,Isac Lidberg,Go Ahead Eagles,True
Go Ahead Eagles,Heerenveen,1628877600,27,zm ZAM,FW,37-182,18,10,0,0,3,7,5,10,0,0,,0,,3,10,9,1,0,1,0,0,8,1,73869d0f,Jacob Mulenga,Go Ahead Eagles,False
Go Ahead Eagles,Heerenveen,1628877600,11,nl NED,LW,23-204,73,35,1,4,21,11,3,35,4,2,50.0,2,50.0,21,139,47,1,0,1,4,2,23,3,b6ca8924,Ragnar Oratmangoen,Go Ahead Eagles,True
Go Ahead Eagles,Heerenveen,1628877600,19,de GER,LW,20-259,17,13,0,0,4,10,2,13,1,1,100.0,0,0.0,7,104,3,0,0,0,1,1,10,2,375b59b4,Ogechika Heil,Go Ahead Eagles,False
Go Ahead Eagles,Heerenveen,1628877600,7,nl NED,RW,24-015,66,22,1,4,9,11,2,22,0,0,,0,,12,123,81,1,0,0,0,0,16,5,adb499a9,Martijn Berden,Go Ahead Eagles,True
Go Ahead Eagles,Heerenveen,1628877600,29,es ESP,RW,26-036,24,16,0,5,7,6,2,16,3,1,33.3,2,66.7,13,112,69,1,2,0,0,5,11,2,b92b456a,Marc Cardona,Go Ahead Eagles,False
Go Ahead Eagles,Heerenveen,1628877600,10,be BEL,"AM,DM",23-358,90,66,3,10,37,20,2,66,1,1,100.0,0,0.0,32,224,131,4,4,0,3,0,40,5,318db7b4,Philippe Rommens,Go Ahead Eagles,True
Go Ahead Eagles,Heerenveen,1628877600,8,nl NED,DM,23-102,66,63,2,19,41,4,0,63,2,1,50.0,1,50.0,31,151,54,1,0,0,1,1,46,2,82306565,Luuk Brouwers,Go Ahead Eagles,True
Go Ahead Eagles,Heerenveen,1628877600,30,gr GRE,"AM,DM",20-236,24,20,0,1,4,15,7,20,0,0,,0,,10,25,10,0,0,0,2,1,16,5,e705903c,Ioannis-Foivos Botos,Go Ahead Eagles,False
Go Ahead Eagles,Heerenveen,1628877600,2,nl NED,DM,23-043,90,44,2,9,29,6,1,44,1,0,0.0,1,100.0,19,56,13,0,0,0,1,1,23,1,a8f2b8a7,Boyd Lucassen,Go Ahead Eagles,True
Go Ahead Eagles,Heerenveen,1628877600,5,nl NED,LB,26-361,90,62,7,18,24,20,3,62,2,2,100.0,0,0.0,24,70,41,2,0,2,1,1,31,7,149b617e,Bas Kuipers,Go Ahead Eagles,True
