url,home_team,away_team,datetime,home_team_manager,away_team_manager,stadium,attendance
https://fbref.com/en/matches/462741bf/Queretaro-America-July-22-2021-Liga-MX,Querétaro,América,1627005600,Héctor Altamirano,Santiago Solari,"Estadio La Corregidora, Santiago de Querétaro",10221
https://fbref.com/en/matches/b3d3299a/Pachuca-Leon-July-24-2021-Liga-MX,Pachuca,León,1627160400,Paulo Pezzolano,Ariel Holan,Officials: Alejandro Funk (Referee) · Enrique Bustos (AR1) · Michel Espinoza (AR2) · Guillermo Pacheco Larios (4th) · Gerardo Martínez  (VAR),0
https://fbref.com/en/matches/7c6a5807/Necaxa-Santos-Laguna-July-23-2021-Liga-MX,Necaxa,Santos Laguna,1627084800,Guillermo Vázquez,Guillermo Almada,"Estadio Victoria de Aguascalientes, Aguascalientes",9153
https://fbref.com/en/matches/07ddea58/FC-Juarez-Toluca-July-23-2021-Liga-MX,FC Juárez,Toluca,1627092000,Tuca Ferretti,Rolando Cristante,"Estadio Olímpico Benito Juárez, Ciudad Juárez",7345
https://fbref.com/en/matches/4afc9df7/Pumas-UNAM-Atlas-July-25-2021-Liga-MX,Pumas UNAM,Atlas,1627232400,Andrés Lillini,Diego Cocca,Officials: Luis Santander (Referee) · Christian Espinosa (AR1) · Michel Galicia (AR2) · Mario Vargas (4th) · Jorge Pérez (VAR),0
https://fbref.com/en/matches/8f4a0ade/Guadalajara-Atletico-July-24-2021-Liga-MX,Guadalajara,Atlético,1627178400,Víctor Vucetich,Marcelo Méndez,"Estadio Akron, Zapopan",11647
https://fbref.com/en/matches/1f58c2e0/Monterrey-Puebla-July-25-2021-Liga-MX,Monterrey,Puebla,1627257960,Javier Aguirre,Nicolás Larcamón,"Estadio BBVA Bancomer, Guadalupe",20267
https://fbref.com/en/matches/b2cb5626/Tijuana-UANL-July-25-2021-Liga-MX,Tijuana,UANL,1627265160,Robert Siboldi,Miguel Herrera,"Estadio Caliente, Tijuana",4333
https://fbref.com/en/matches/3c98c553/Cruz-Azul-Mazatlan-July-26-2021-Liga-MX,Cruz Azul,Mazatlán,1627347600,Juan Reynoso,Beñat San José,"Estadio Azteca, Coyoacán",9598
https://fbref.com/en/matches/20f54bbc/Leon-Tijuana-July-31-2021-Liga-MX,León,Tijuana,1627768800,Ariel Holan,Robert Siboldi,"Estadio León, León",8863
https://fbref.com/en/matches/42c85c93/Mazatlan-Pachuca-July-30-2021-Liga-MX,Mazatlán,Pachuca,1627689600,Beñat San José,Paulo Pezzolano,"Estadio de Mazatlán, Mazatlán",4675
https://fbref.com/en/matches/a557b20d/Puebla-Guadalajara-July-30-2021-Liga-MX,Puebla,Guadalajara,1627697100,Nicolás Larcamón,Víctor Vucetich,"Estadio Cuauhtémoc, Puebla",6800
https://fbref.com/en/matches/05c157d7/Toluca-UANL-August-1-2021-Liga-MX,Toluca,UANL,1627837200,Rolando Cristante,Miguel Herrera,"Estadio Nemesio Díez, Toluca",8540
https://fbref.com/en/matches/17f5183c/Santos-Laguna-Cruz-Azul-August-1-2021-Liga-MX,Santos Laguna,Cruz Azul,1627858800,Guillermo Almada,Juan Reynoso,"Estadio Nuevo Corona, Torreón",12200
https://fbref.com/en/matches/48bb43d9/America-Necaxa-July-31-2021-Liga-MX,América,Necaxa,1627776000,Santiago Solari,Guillermo Vázquez,"Estadio Azteca, Coyoacán",9590
https://fbref.com/en/matches/9aeb1db1/Monterrey-Pumas-UNAM-July-31-2021-Liga-MX,Monterrey,Pumas UNAM,1627783200,Javier Aguirre,Andrés Lillini,"Estadio BBVA Bancomer, Guadalupe",20943
https://fbref.com/en/matches/f4eb27ec/Atlas-FC-Juarez-July-31-2021-Liga-MX,Atlas,FC Juárez,1627783200,Diego Cocca,Tuca Ferretti,"Estadio Jalisco, Guadalajara",7859
https://fbref.com/en/matches/fcaa2f2f/Atletico-Queretaro-August-2-2021-Liga-MX,Atlético,Querétaro,1627956000,Marcelo Méndez,Héctor Altamirano,"Estadio Alfonso Lastras Ramírez, San Luis Potosí",6917
https://fbref.com/en/matches/b53e83ab/Queretaro-Leon-August-5-2021-Liga-MX,Querétaro,León,1628215200,Héctor Altamirano,Ariel Holan,"Estadio La Corregidora, Santiago de Querétaro",10031
https://fbref.com/en/matches/f900708e/Guadalajara-FC-Juarez-August-7-2021-Liga-MX,Guadalajara,FC Juárez,1628373600,Víctor Vucetich,Tuca Ferretti,"Estadio Akron, Zapopan",9208
https://fbref.com/en/matches/861a1cf4/Mazatlan-Monterrey-August-6-2021-Liga-MX,Mazatlán,Monterrey,1628294400,Beñat San José,Javier Aguirre,"Estadio de Mazatlán, Mazatlán",6543
https://fbref.com/en/matches/5eced4b8/Tijuana-Toluca-August-6-2021-Liga-MX,Tijuana,Toluca,1628301960,Robert Siboldi,Rolando Cristante,"Estadio Caliente, Tijuana",5333
https://fbref.com/en/matches/5ff51ba1/Necaxa-Cruz-Azul-August-6-2021-Liga-MX,Necaxa,Cruz Azul,1628301900,Guillermo Vázquez,Juan Reynoso,"Estadio Victoria de Aguascalientes, Aguascalientes",13187
https://fbref.com/en/matches/c561d19e/Pumas-UNAM-Atletico-August-8-2021-Liga-MX,Pumas UNAM,Atlético,1628442000,Andrés Lillini,Marcelo Méndez,Officials: Óscar Macias (Referee) · José López (AR1) · Edgar Magdaleno (AR2) · Victor Caceres (4th),0
https://fbref.com/en/matches/20eb034e/America-Puebla-August-7-2021-Liga-MX,América,Puebla,1628380800,Santiago Solari,Nicolás Larcamón,"Estadio Azteca, Coyoacán",8567
https://fbref.com/en/matches/3cb8d4b7/UANL-Santos-Laguna-August-7-2021-Liga-MX,UANL,Santos Laguna,1628388000,Miguel Herrera,Guillermo Almada,"Estadio Universitario de Nuevo León, San Nicolás de los Garza",14350
https://fbref.com/en/matches/56c47ec5/Pachuca-Atlas-August-9-2021-Liga-MX,Pachuca,Atlas,1628560800,Paulo Pezzolano,Diego Cocca,Officials: Guillermo Pacheco Larios (Referee) · Alberto Morín (AR1) · Marco Bisguerra (AR2) · Jorge Rojas (4th),0
https://fbref.com/en/matches/8d692fca/Atletico-Necaxa-August-12-2021-Liga-MX,Atlético,Necaxa,1628820000,Marcelo Méndez,Guillermo Vázquez,"Estadio Alfonso Lastras Ramírez, San Luis Potosí",4128
https://fbref.com/en/matches/2e0ed1fb/Pumas-UNAM-Queretaro-August-14-2021-Liga-MX,Pumas UNAM,Querétaro,1628978400,Andrés Lillini,Héctor Altamirano,Officials: Oscar Mejia (Referee) · Karen Díaz (AR1) · Mauricio Nieto Torres (AR2) · Victor Caceres (4th) · Diego Montaño (VAR),0
https://fbref.com/en/matches/8898df77/Puebla-UANL-August-13-2021-Liga-MX,Puebla,UANL,1628899200,Nicolás Larcamón,Miguel Herrera,"Estadio Cuauhtémoc, Puebla",7654
https://fbref.com/en/matches/d28d1d23/FC-Juarez-Tijuana-August-13-2021-Liga-MX,FC Juárez,Tijuana,1628906400,Tuca Ferretti,Robert Siboldi,"Estadio Olímpico Benito Juárez, Ciudad Juárez",7806
https://fbref.com/en/matches/fd42fb64/Atlas-America-August-15-2021-Liga-MX,Atlas,América,1629064800,Diego Cocca,Santiago Solari,"Estadio Jalisco, Guadalajara",13637
https://fbref.com/en/matches/b3f61efa/Leon-Mazatlan-August-14-2021-Liga-MX,León,Mazatlán,1628985600,Ariel Holan,Beñat San José,"Estadio León, León",9663
https://fbref.com/en/matches/82c495ec/Cruz-Azul-Toluca-August-14-2021-Liga-MX,Cruz Azul,Toluca,1628992800,Juan Reynoso,Rolando Cristante,"Estadio Azteca, Coyoacán",8588
