url,home_team,away_team,datetime,home_team_manager,away_team_manager,stadium,attendance
https://fbref.com/en/matches/2f93ff27/CF-Montreal-Toronto-FC-April-17-2021-Major-League-Soccer,CF Montréal,Toronto FC,1618682400,Wilfried Nancy,Chris Armas,Officials: Ismail Elfath (Referee) · Corey Parker (AR1) · Jason White (AR2) · Marcos de Oliveira (4th) · Alan Kelly (VAR),0
https://fbref.com/en/matches/72ff090e/Los-Angeles-FC-Austin-FC-April-17-2021-Major-League-Soccer,Los Angeles FC,Austin FC,1618696800,Bob Bradley,Josh Wolff,"Banc of California Stadium, Los Angeles",4900
https://fbref.com/en/matches/fc93337c/Orlando-City-Atlanta-United-April-17-2021-Major-League-Soccer,Orlando City,Atlanta United,1618686000,Óscar Pareja,Gabriel Heinze,"Exploria Stadium, Orlando",11503
https://fbref.com/en/matches/8c75aa7a/Seattle-Sounders-FC-Minnesota-United-April-16-2021-Major-League-Soccer,Seattle Sounders FC,Minnesota United,1618623000,Brian Schmetzer,Adrian Heath,"Lumen Field, Seattle",7042
https://fbref.com/en/matches/96915f3c/Houston-Dynamo-San-Jose-Earthquakes-April-16-2021-Major-League-Soccer,Houston Dynamo,San Jose Earthquakes,1618617600,Tab Ramos,Matías Almeyda,Officials: Armando Villarreal (Referee) · Kyle Atkins (AR1) · Jeffrey Greeson (AR2) · Rosendo Mendoza (4th) · Edvin Jurisevic (VAR),0
https://fbref.com/en/matches/ec375869/Inter-Miami-LA-Galaxy-April-18-2021-Major-League-Soccer,Inter Miami,LA Galaxy,1618772400,Phil Neville,Greg Vanney,Officials: Chris Penso (Referee) · Cameron Blanchard (AR1) · Kevin Klinger (AR2) · Marcos de Oliveira (4th) · Alan Kelly (VAR),0
https://fbref.com/en/matches/962f6ac3/Columbus-Crew-Philadelphia-Union-April-18-2021-Major-League-Soccer,Columbus Crew,Philadelphia Union,1618781400,Caleb Porter,Jim Curtin,"MAPFRE Stadium, Columbus",5180
https://fbref.com/en/matches/720bd2d4/FC-Dallas-Colorado-Rapids-April-17-2021-Major-League-Soccer,FC Dallas,Colorado Rapids,1618704000,Luchi González,Robin Fraser,"Toyota Stadium, Frisco",8621
https://fbref.com/en/matches/e2dea885/Nashville-SC-FC-Cincinnati-April-17-2021-Major-League-Soccer,Nashville SC,FC Cincinnati,1618705800,Gary Smith,Jaap Stam,Officials: Rubiel Vazquez (Referee) · Andrew Bigelow (AR1) · T.J. Zablocki (AR2) · Matthew Thompson (4th) · Kevin Terry Jr. (VAR),0
https://fbref.com/en/matches/fdae0fee/Chicago-Fire-New-England-Revolution-April-17-2021-Major-League-Soccer,Chicago Fire,New England Revolution,1618705800,Raphaël Wicky,Bruce Arena,Officials: Fotis Bazakos (Referee) · Brian Poeschel (AR1) · Peter Manikowski (AR2) · Lukasz Szpala (4th) · Malik Badawi (VAR),0
https://fbref.com/en/matches/afd06055/New-York-Red-Bulls-Sporting-KC-April-17-2021-Major-League-Soccer,New York Red Bulls,Sporting KC,1618704000,Gerhard Struber,Peter Vermes,Officials: Robert Sibiga (Referee) · Gjovalin Bori (AR1) · Jeremy Kieso (AR2) · Guido Gonzalez Jr. (4th) · Jorge Gonzalez (VAR),0
https://fbref.com/en/matches/c2f38e24/DC-United-New-York-City-FC-April-17-2021-Major-League-Soccer,D.C. United,New York City FC,1618704000,Hernán Losada,Ronny Deila,"Audi Field, Washington",4500
https://fbref.com/en/matches/35ced6e1/Vancouver-Whitecaps-FC-Portland-Timbers-April-18-2021-Major-League-Soccer,Vancouver Whitecaps FC,Portland Timbers,1618797600,Marc Dos Santos,Giovanni Savarese,Officials: Allen Chapman (Referee) · Jeff Hosking (AR1) · Chris Elliott (AR2) · Silviu Petrescu (4th) · Victor Rivas (VAR),0
