home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,player_id,player,squad,start
Cuiabá,Juventude,1622325600,9,br BRA,FW,35-301,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,e59be3c8,Élton Rodrigues Brandão,Cuiabá,True
Cuiabá,Juventude,1622325600,10,br BRA,LW,26-071,79,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,0,0,85c1009d,Clayson,Cuiabá,True
Cuiabá,Juventude,1622325600,18,br BRA,LW,22-047,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,31737e86,Rafael Elias,Cuiabá,False
Cuiabá,Juventude,1622325600,7,br BRA,RW,29-323,82,2,2,0,2,0,0,0,,0,0,0,0,0,2,0,0,8d043f1d,Jonathan Cafu,Cuiabá,True
Cuiabá,Juventude,1622325600,19,br BRA,RW,31-122,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,30139a1c,Felipe Marques,Cuiabá,False
Cuiabá,Juventude,1622325600,8,br BRA,LM,28-009,70,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,713e1a36,Rafael Gava,Cuiabá,True
Cuiabá,Juventude,1622325600,21,br BRA,LM,20-101,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,d5fd5774,Guilherme Pato,Cuiabá,False
Cuiabá,Juventude,1622325600,5,br BRA,CM,23-143,90,5,3,0,5,0,0,5,0.0,5,0,0,0,1,6,0,1,d75471eb,João Pedro Pepê,Cuiabá,True
Cuiabá,Juventude,1622325600,11,br BRA,RM,22-095,90,3,2,1,2,0,0,1,0.0,1,1,0,1,1,4,0,0,dfb81359,Camilo,Cuiabá,True
Cuiabá,Juventude,1622325600,6,br BRA,LB,32-233,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0bd9e045,Uendel,Cuiabá,True
Cuiabá,Juventude,1622325600,4,br BRA,CB,31-217,90,1,0,1,0,0,0,0,,0,1,1,0,2,3,2,0,d50b1371,Anderson Conceição,Cuiabá,True
Cuiabá,Juventude,1622325600,3,br BRA,CB,29-043,90,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0,d0b29bbd,Marllon Borges,Cuiabá,True
Cuiabá,Juventude,1622325600,2,br BRA,RB,27-083,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,58933a04,Lucas Ramon,Cuiabá,True
Cuiabá,Juventude,1622325600,13,br BRA,RB,23-081,45,5,3,2,1,2,0,0,,0,2,0,2,0,5,0,0,289dc81e,João Lucas,Cuiabá,False
Cuiabá,Juventude,1622325600,1,br BRA,GK,33-192,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8bae322b,Walter,Cuiabá,True
Bahia,Santos,1622329200,9,br BRA,FW,31-358,73,1,1,1,0,0,0,0,,0,0,0,0,1,2,4,0,5da22685,Gilberto,Bahia,True
Bahia,Santos,1622329200,22,br BRA,FW,23-153,17,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,7a7c9837,Thonny Anderson,Bahia,False
Bahia,Santos,1622329200,10,br BRA,LW,33-063,73,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,0e335a47,Rodriguinho Marinho,Bahia,True
Bahia,Santos,1622329200,37,br BRA,LW,24-275,17,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,d261f0d3,Maycon Douglas,Bahia,False
Bahia,Santos,1622329200,7,br BRA,RW,28-037,90,1,0,0,0,1,1,2,50.0,1,2,0,2,0,1,1,0,80274d82,Rossi,Bahia,True
Bahia,Santos,1622329200,8,br BRA,LM,25-138,85,2,1,1,1,0,2,2,100.0,0,0,0,0,0,2,1,0,832ab167,Danielzinho,Bahia,True
Bahia,Santos,1622329200,20,br BRA,LM,29-077,5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,5042eb90,Matheus Galdezani,Bahia,False
Bahia,Santos,1622329200,45,br BRA,CM,21-088,76,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,2,0,bceb5750,Patrick de Lucca,Bahia,True
