home_team,away_team,datetime,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,player_id,player,squad,start
Cuiabá,Juventude,1622325600,br BRA,33-192,90,3,2,1,33.3,1.8,3,8,37.5,38,1,18.4,28.9,7,14.3,22.3,10,1,10.0,0,5.5,8bae322b,Walter,Cuiabá,True
Bahia,Santos,1622329200,br BRA,26-299,90,4,0,4,100.0,0.4,2,6,33.3,19,2,21.1,30.4,8,25.0,22.8,29,2,6.9,0,7.6,03103191,Mateus Claus,Bahia,True
Atlético Mineiro,Fortaleza,1622383200,br BRA,30-312,90,5,2,3,60.0,1.5,8,19,42.1,34,3,50.0,36.8,5,40.0,36.6,9,0,0.0,3,23.0,a59c090b,Éverson,Atlético Mineiro,True
Ceará,Grêmio,1622401200,br BRA,32-266,45,1,1,,0.0,0.6,5,9,55.6,10,3,70.0,47.2,3,66.7,54.0,7,,,1,24.0,4729d71a,João Ricardo Riedi,Ceará,True
Ceará,Grêmio,1622401200,br BRA,21-090,45,2,1,1,50.0,1.5,2,7,28.6,5,0,40.0,35.0,5,100.0,70.0,7,0,0.0,0,,0d9b2e53,Vinícius Machado,Ceará,True
Flamengo,Palmeiras,1622401200,br BRA,35-340,90,5,0,5,100.0,1.5,5,9,55.6,20,7,20.0,29.5,8,62.5,39.4,12,1,8.3,0,9.0,12421a7c,Diego Alves,Flamengo,True
Corinthians,Atlético Goianiense,1622409300,br BRA,33-358,90,2,1,1,50.0,0.9,3,8,37.5,23,5,21.7,28.3,6,50.0,36.5,5,0,0.0,2,33.0,d42f6326,Cássio,Corinthians,True
Chapecoense,Bragantino,1622409300,br BRA,23-111,90,8,3,5,62.5,2.6,3,10,30.0,22,8,27.3,33.7,12,33.3,29.8,24,0,0.0,0,7.4,f6bbf30b,Tiepo,Chapecoense,True
Athletico Paranaense,América (MG),1622409300,br BRA,31-074,90,4,0,4,100.0,0.7,6,15,40.0,36,11,33.3,31.2,8,37.5,33.6,11,1,9.1,1,11.5,b8d0b69c,Santos,Athletico Paranaense,True
Internacional,Sport Recife,1622417400,br BRA,34-163,90,5,2,3,80.0,2.2,1,5,20.0,38,1,7.9,26.7,6,33.3,25.8,11,1,9.1,0,5.0,e4835e3c,Marcelo Lomba,Internacional,True
