home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,player_id,player,squad,start
Cuiabá,Juventude,1622325600,9,br BRA,FW,35-301,90,29,0,0,13,16,4,29,1,1,100.0,0,0.0,14,31,10,0,0,0,5,0,18,5,e59be3c8,Élton Rodrigues Brandão,Cuiabá,True
Cuiabá,Juventude,1622325600,10,br BRA,LW,26-071,79,45,0,6,12,29,2,45,7,4,57.1,3,42.9,29,230,93,5,3,0,1,0,31,6,85c1009d,Clayson,Cuiabá,True
Cuiabá,Juventude,1622325600,18,br BRA,LW,22-047,11,2,0,0,0,2,0,2,0,0,,0,,3,12,1,0,0,0,0,1,2,1,31737e86,Rafael Elias,Cuiabá,False
Cuiabá,Juventude,1622325600,7,br BRA,RW,29-323,82,33,1,2,15,16,2,33,2,1,50.0,1,50.0,24,174,59,4,0,2,1,2,21,5,8d043f1d,Jonathan Cafu,Cuiabá,True
Cuiabá,Juventude,1622325600,19,br BRA,RW,31-122,8,7,0,0,3,4,0,7,3,3,100.0,0,0.0,4,57,20,1,1,0,0,0,5,2,30139a1c,Felipe Marques,Cuiabá,False
Cuiabá,Juventude,1622325600,8,br BRA,LM,28-009,70,31,1,2,19,10,2,31,0,0,,0,,17,45,16,0,0,0,2,2,21,1,713e1a36,Rafael Gava,Cuiabá,True
Cuiabá,Juventude,1622325600,21,br BRA,LM,20-101,20,11,0,0,6,5,0,11,0,0,,0,,8,32,16,0,0,0,1,1,8,4,d5fd5774,Guilherme Pato,Cuiabá,False
Cuiabá,Juventude,1622325600,5,br BRA,CM,23-143,90,67,1,14,45,8,1,67,2,1,50.0,1,50.0,35,151,51,1,0,0,5,0,41,2,d75471eb,João Pedro Pepê,Cuiabá,True
Cuiabá,Juventude,1622325600,11,br BRA,RM,22-095,90,55,0,9,35,12,2,55,0,0,,0,,36,179,83,0,1,0,3,0,35,2,dfb81359,Camilo,Cuiabá,True
Cuiabá,Juventude,1622325600,6,br BRA,LB,32-233,90,76,1,11,43,25,0,76,4,1,25.0,3,75.0,48,263,160,4,5,0,0,0,48,6,0bd9e045,Uendel,Cuiabá,True
Cuiabá,Juventude,1622325600,4,br BRA,CB,31-217,90,84,5,30,51,3,3,84,0,0,,0,,62,227,110,0,0,0,1,0,68,0,d50b1371,Anderson Conceição,Cuiabá,True
Cuiabá,Juventude,1622325600,3,br BRA,CB,29-043,90,84,8,35,47,2,1,84,0,0,,0,,60,309,184,0,0,0,0,0,72,0,d0b29bbd,Marllon Borges,Cuiabá,True
Cuiabá,Juventude,1622325600,2,br BRA,RB,27-083,45,36,1,17,15,4,0,36,1,1,100.0,0,0.0,16,36,18,0,0,0,0,1,19,0,58933a04,Lucas Ramon,Cuiabá,True
Cuiabá,Juventude,1622325600,13,br BRA,RB,23-081,45,40,1,8,18,14,0,40,1,0,0.0,1,100.0,23,207,36,1,1,0,1,0,24,5,289dc81e,João Lucas,Cuiabá,False
Cuiabá,Juventude,1622325600,1,br BRA,GK,33-192,90,46,39,46,0,0,0,46,0,0,,0,,31,92,60,0,0,0,0,0,31,0,8bae322b,Walter,Cuiabá,True
Bahia,Santos,1622329200,9,br BRA,FW,31-358,73,12,2,6,4,2,1,12,0,0,,0,,1,13,0,0,0,0,0,0,3,0,5da22685,Gilberto,Bahia,True
Bahia,Santos,1622329200,22,br BRA,FW,23-153,17,7,0,1,3,3,0,7,2,2,100.0,0,0.0,3,14,0,0,0,0,3,0,4,0,7a7c9837,Thonny Anderson,Bahia,False
Bahia,Santos,1622329200,10,br BRA,LW,33-063,73,29,0,11,8,12,1,29,2,2,100.0,0,0.0,10,81,62,1,1,0,2,2,19,3,0e335a47,Rodriguinho Marinho,Bahia,True
Bahia,Santos,1622329200,37,br BRA,LW,24-275,17,6,1,4,2,0,0,6,2,1,50.0,1,50.0,4,44,32,0,0,0,0,1,2,0,d261f0d3,Maycon Douglas,Bahia,False
Bahia,Santos,1622329200,7,br BRA,RW,28-037,90,29,1,1,12,16,4,29,4,3,75.0,1,25.0,14,88,43,2,0,1,4,0,24,6,80274d82,Rossi,Bahia,True
Bahia,Santos,1622329200,8,br BRA,LM,25-138,85,51,1,5,34,12,1,51,1,0,0.0,1,100.0,24,113,51,1,0,0,1,2,37,2,832ab167,Danielzinho,Bahia,True
Bahia,Santos,1622329200,20,br BRA,LM,29-077,5,4,1,2,2,0,0,4,0,0,,0,,1,0,0,0,0,0,0,0,2,0,5042eb90,Matheus Galdezani,Bahia,False
Bahia,Santos,1622329200,45,br BRA,CM,21-088,76,45,4,14,29,3,0,45,0,0,,0,,18,106,75,1,0,0,1,0,29,0,bceb5750,Patrick de Lucca,Bahia,True
Bahia,Santos,1622329200,27,br BRA,CM,29-233,14,8,2,4,2,2,0,8,0,0,,0,,3,3,0,0,0,0,1,0,5,0,f2dbada6,Jonas,Bahia,False
Bahia,Santos,1622329200,16,br BRA,RM,26-017,85,29,4,9,14,6,2,29,0,0,,0,,7,23,8,0,1,0,0,0,18,0,139113e4,Thaciano,Bahia,True
Bahia,Santos,1622329200,34,br BRA,RM,22-008,5,3,1,2,1,0,0,3,0,0,,0,,0,0,0,0,0,0,0,0,1,0,7e5ba333,Lucas Araujo,Bahia,False
Bahia,Santos,1622329200,79,br BRA,LB,21-291,90,54,4,24,17,13,0,54,4,0,0.0,4,100.0,11,50,28,1,0,0,2,0,17,3,33e3c4e5,Matheus Bahia,Bahia,True
Bahia,Santos,1622329200,40,br BRA,CB,25-154,90,43,9,22,17,4,1,43,1,1,100.0,0,0.0,21,93,39,0,1,0,1,0,23,0,72c01cfb,Juninho,Bahia,True
Bahia,Santos,1622329200,5,ar ARG,CB,26-360,90,61,9,30,32,0,0,61,0,0,,0,,22,61,28,0,0,0,0,0,41,0,7b18b6db,Germán Conti,Bahia,True
Bahia,Santos,1622329200,42,br BRA,RB,23-130,90,41,3,8,23,10,0,41,0,0,,0,,8,30,14,0,0,0,2,0,19,2,bb598858,Renan Guedes,Bahia,True
Bahia,Santos,1622329200,77,br BRA,GK,26-299,90,28,23,28,0,0,0,28,0,0,,0,,12,60,23,0,0,0,0,0,9,0,03103191,Mateus Claus,Bahia,True
Atlético Mineiro,Fortaleza,1622383200,7,br BRA,FW,34-309,90,27,0,1,6,20,5,26,2,1,50.0,1,50.0,19,99,35,1,1,1,3,1,26,7,33a1f72e,Hulk,Atlético Mineiro,True
Atlético Mineiro,Fortaleza,1622383200,38,br BRA,LW,22-114,70,19,0,1,6,12,2,19,0,0,,0,,11,58,42,2,1,0,1,0,14,7,1dff86ec,Marrony,Atlético Mineiro,True
Atlético Mineiro,Fortaleza,1622383200,10,cl CHI,LW,31-191,20,6,0,3,2,1,1,6,1,1,100.0,0,0.0,6,42,11,0,0,0,0,0,5,1,bd603c00,Eduardo Vargas,Atlético Mineiro,False
Atlético Mineiro,Fortaleza,1622383200,70,ve VEN,RW,24-200,62,23,0,1,6,16,3,23,3,2,66.7,1,33.3,16,57,35,3,0,2,2,0,17,4,91721722,Jefferson Savarino,Atlético Mineiro,True
Atlético Mineiro,Fortaleza,1622383200,33,br BRA,RW,17-050,28,12,0,1,4,7,1,12,1,1,100.0,0,0.0,9,74,35,1,1,0,0,0,13,5,fe6e7156,Sávio,Atlético Mineiro,False
Atlético Mineiro,Fortaleza,1622383200,26,ar ARG,AM,31-138,70,40,0,2,25,13,1,40,1,0,0.0,1,100.0,20,88,46,2,0,0,1,1,28,3,97a17c0b,Ignacio Fernández,Atlético Mineiro,True
Atlético Mineiro,Fortaleza,1622383200,23,br BRA,AM,25-078,20,2,0,0,2,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,fa00f0c9,Nathan,Atlético Mineiro,False
Atlético Mineiro,Fortaleza,1622383200,29,br BRA,DM,24-088,62,34,3,18,13,4,0,34,1,1,100.0,0,0.0,18,73,35,1,1,0,0,0,20,0,b15e93aa,Allan,Atlético Mineiro,True
Atlético Mineiro,Fortaleza,1622383200,15,ar ARG,DM,23-081,28,11,1,5,6,0,0,11,0,0,,0,,8,45,18,0,0,0,1,1,8,0,803d5265,Federico Zaracho,Atlético Mineiro,False
Atlético Mineiro,Fortaleza,1622383200,37,br BRA,DM,28-273,90,54,2,16,28,10,0,54,0,0,,0,,30,219,111,3,2,0,0,1,37,0,5f2caf8f,Tchê Tchê,Atlético Mineiro,True
Atlético Mineiro,Fortaleza,1622383200,13,br BRA,LB,24-046,90,64,0,14,36,14,0,64,2,1,50.0,1,50.0,36,137,75,1,1,0,2,1,46,1,2b15a82a,Guilherme Arana,Atlético Mineiro,True
