home_team,away_team,datetime,player_id,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player_id,sca_1_player,sca_1_type,sca_2_player_id,sca_2_player,sca_2_type,minute,pen
Cuiabá,Juventude,1622325600,d50b1371,Anderson Conceição, Cuiabá,0.09,,Off Target,10,Head,,0bd9e045,Uendel,Pass (Live),85c1009d,Clayson,Pass (Dead),9,False
Cuiabá,Juventude,1622325600,566c4795,Alyson Neves, Juventude,0.10,,Off Target,7,Left Foot,,05384ea1,Michel,Pass (Live),5a43c680,Wescley,Pass (Live),17,False
Cuiabá,Juventude,1622325600,85c1009d,Clayson, Cuiabá,0.02,,Off Target,27,Right Foot,,0bd9e045,Uendel,Pass (Live),85c1009d,Clayson,Pass (Live),20,False
Cuiabá,Juventude,1622325600,8d043f1d,Jonathan Cafu, Cuiabá,0.22,0.09,Goal,12,Right Foot,Deflected,85c1009d,Clayson,Pass (Live),8d043f1d,Jonathan Cafu,Pass (Live),29,False
Cuiabá,Juventude,1622325600,dfb81359,Camilo, Cuiabá,0.06,,Off Target,14,Head,,85c1009d,Clayson,Pass (Live),85c1009d,Clayson,Take-On,34,False
Cuiabá,Juventude,1622325600,a32d25d3,Guilherme Carvalho, Juventude,0.02,,Off Target,35,Right Foot,Free kick,05160796,Matheus Peixoto,Fouled,05384ea1,Michel,Pass (Live),37,False
Cuiabá,Juventude,1622325600,713e1a36,Rafael Gava, Cuiabá,0.04,,Off Target,26,Right Foot,,dfb81359,Camilo,Pass (Live),0bd9e045,Uendel,Pass (Live),38,False
Cuiabá,Juventude,1622325600,713e1a36,Rafael Gava, Cuiabá,0.05,,Blocked,11,Head,,0bd9e045,Uendel,Pass (Dead),85c1009d,Clayson,Fouled,43,False
Cuiabá,Juventude,1622325600,5a43c680,Wescley, Juventude,0.56,0.93,Goal,9,Left Foot,Volley,5a43c680,Wescley,Pass (Live),05160796,Matheus Peixoto,Pass (Live),43,False
Cuiabá,Juventude,1622325600,05160796,Matheus Peixoto, Juventude,0.27,0.67,Goal,12,Right Foot,,ea2634a1,Capixaba,Pass (Live),bad7d8a9,Chico,Pass (Live),45+1,False
Cuiabá,Juventude,1622325600,a32d25d3,Guilherme Carvalho, Juventude,0.03,,Blocked,28,Right Foot,,ea2634a1,Capixaba,Pass (Live),5a43c680,Wescley,Pass (Live),48,False
Cuiabá,Juventude,1622325600,85c1009d,Clayson, Cuiabá,0.01,,Blocked,33,Right Foot,,0bd9e045,Uendel,Pass (Live),d75471eb,João Pedro Pepê,Pass (Live),56,False
Cuiabá,Juventude,1622325600,d0b29bbd,Marllon Borges, Cuiabá,0.08,,Off Target,11,Head,,85c1009d,Clayson,Pass (Dead),713e1a36,Rafael Gava,Pass (Live),58,False
Cuiabá,Juventude,1622325600,bad7d8a9,Chico, Juventude,0.30,0.25,Saved,10,Left Foot,,05384ea1,Michel,Pass (Live),a32d25d3,Guilherme Carvalho,Pass (Live),59,False
Cuiabá,Juventude,1622325600,289dc81e,João Lucas, Cuiabá,0.04,,Off Target,22,Right Foot,Volley,0bd9e045,Uendel,Pass (Dead),713e1a36,Rafael Gava,Pass (Live),63,False
Cuiabá,Juventude,1622325600,e59be3c8,Élton Rodrigues Brandão, Cuiabá,0.16,,Off Target,10,Head,,8d043f1d,Jonathan Cafu,Pass (Live),289dc81e,João Lucas,Pass (Live),66,False
Cuiabá,Juventude,1622325600,d50b1371,Anderson Conceição, Cuiabá,0.13,,Off Target,10,Head,,d75471eb,João Pedro Pepê,Pass (Dead),,,,73,False
Cuiabá,Juventude,1622325600,888a1498,João Paulo, Juventude,0.03,,Off Target,30,Right Foot,,5a43c680,Wescley,Pass (Live),e816a8ee,Marcos Vinicios Sorriso,Pass (Live),82,False
Cuiabá,Juventude,1622325600,e59be3c8,Élton Rodrigues Brandão, Cuiabá,0.02,,Blocked,25,Left Foot,,e59be3c8,Élton Rodrigues Brandão,Take-On,30139a1c,Felipe Marques,Pass (Live),87,False
Cuiabá,Juventude,1622325600,e59be3c8,Élton Rodrigues Brandão, Cuiabá,0.43,0.95,Goal,3,Head,,d5fd5774,Guilherme Pato,Pass (Live),dfb81359,Camilo,Pass (Live),87,False
Cuiabá,Juventude,1622325600,30139a1c,Felipe Marques, Cuiabá,0.02,,Blocked,29,Right Foot,,30139a1c,Felipe Marques,Take-On,30139a1c,Felipe Marques,Take-On,90+1,False
Bahia,Santos,1622329200,139113e4,Thaciano, Bahia,0.05,,Off Target,24,Right Foot,,0e335a47,Rodriguinho Marinho,Pass (Live),80274d82,Rossi,Pass (Live),5,False
Bahia,Santos,1622329200,5da22685,Gilberto, Bahia,0.07,,Off Target,12,Head,,bb598858,Renan Guedes,Pass (Live),33e3c4e5,Matheus Bahia,Pass (Dead),9,False
Bahia,Santos,1622329200,c077c735,Marinho, Santos,0.02,0.10,Saved,12,Head,,0102ca7f,Felipe Jonatan,Pass (Live),,,,14,False
Bahia,Santos,1622329200,c077c735,Marinho, Santos,0.05,,Blocked,30,Left Foot,,d39b373b,Alison,Pass (Live),17205abf,Gabriel Pirani,Pass (Live),17,False
Bahia,Santos,1622329200,1ee0513b,Jean Mota, Santos,0.05,,Off Target,30,Left Foot,Volley,8a0a73ad,Lucas Braga,Pass (Live),64f3f8ee,Pará,Interception,36,False
Bahia,Santos,1622329200,c077c735,Marinho, Santos,0.05,0.12,Saved,16,Left Foot,,17205abf,Gabriel Pirani,Pass (Live),64f3f8ee,Pará,Pass (Live),45+1,False
Bahia,Santos,1622329200,139113e4,Thaciano, Bahia,0.51,0.87,Goal,5,Right Foot,,80274d82,Rossi,Pass (Live),bceb5750,Patrick de Lucca,Pass (Live),46,False
Bahia,Santos,1622329200,139113e4,Thaciano, Bahia,0.23,0.79,Goal,17,Right Foot,,80274d82,Rossi,Pass (Live),80274d82,Rossi,Take-On,49,False
Bahia,Santos,1622329200,72c01cfb,Juninho, Bahia,0.24,0.34,Goal,8,Head,,832ab167,Danielzinho,Pass (Live),0e335a47,Rodriguinho Marinho,Pass (Dead),53,False
Bahia,Santos,1622329200,1ee0513b,Jean Mota, Santos,0.08,,Blocked,24,Left Foot,Free kick,c077c735,Marinho,Fouled,1ee0513b,Jean Mota,Pass (Live),65,False
Bahia,Santos,1622329200,c077c735,Marinho, Santos,0.05,,Off Target,29,Right Foot,,1ee0513b,Jean Mota,Pass (Live),64f3f8ee,Pará,Pass (Live),69,False
Bahia,Santos,1622329200,d5ff6084,Marcos Guilherme, Santos,0.05,,Off Target,20,Right Foot,,17205abf,Gabriel Pirani,Pass (Live),c077c735,Marinho,Pass (Live),76,False
Bahia,Santos,1622329200,c077c735,Marinho, Santos,0.02,,Off Target,30,Left Foot,,d5ff6084,Marcos Guilherme,Pass (Live),c077c735,Marinho,Pass (Live),80,False
Bahia,Santos,1622329200,a5549ec1,Luan Peres Petroni, Santos,0.02,0.05,Saved,12,Head,,c077c735,Marinho,Pass (Live),1ee0513b,Jean Mota,Pass (Live),90,False
Bahia,Santos,1622329200,17205abf,Gabriel Pirani, Santos,0.01,0.15,Saved,29,Left Foot,,1ee0513b,Jean Mota,Pass (Live),,,,90+2,False
Bahia,Santos,1622329200,c077c735,Marinho, Santos,0.05,,Blocked,27,Left Foot,Free kick,c077c735,Marinho,Fouled,a5549ec1,Luan Peres Petroni,Pass (Live),90+5,False
Bahia,Santos,1622329200,a5549ec1,Luan Peres Petroni, Santos,0.03,,Off Target,31,Left Foot,,0102ca7f,Felipe Jonatan,Pass (Live),c077c735,Marinho,Pass (Live),90+5,False
Atlético Mineiro,Fortaleza,1622383200,e43a07d4,Matheus de Vargas, Fortaleza,0.01,0.03,Saved,37,Right Foot,,,,,,,,4,False
Atlético Mineiro,Fortaleza,1622383200,6501ff61,Lucas Crispim, Fortaleza,0.02,,Off Target,33,Right Foot,,e43a07d4,Matheus de Vargas,Pass (Live),,,,5,False
Atlético Mineiro,Fortaleza,1622383200,33a1f72e,Hulk, Atlético Mineiro,0.08,,Blocked,29,Left Foot,Free kick,33a1f72e,Hulk,Fouled,91721722,Jefferson Savarino,Pass (Live),8,False
Atlético Mineiro,Fortaleza,1622383200,91721722,Jefferson Savarino, Atlético Mineiro,0.05,,Off Target,21,Right Foot,,5f2caf8f,Tchê Tchê,Pass (Live),33a1f72e,Hulk,Pass (Live),9,False
Atlético Mineiro,Fortaleza,1622383200,b15e93aa,Allan, Atlético Mineiro,0.03,0.11,Saved,28,Left Foot,,b15e93aa,Allan,Take-On,b15e93aa,Allan,Interception,9,False
Atlético Mineiro,Fortaleza,1622383200,2b15a82a,Guilherme Arana, Atlético Mineiro,0.03,0.19,Saved,30,Left Foot,,6975a3e1,Guga,Pass (Live),91721722,Jefferson Savarino,Pass (Live),13,False
Atlético Mineiro,Fortaleza,1622383200,e29eff7a,Robson, Fortaleza,0.03,,Off Target,16,Left Foot,,6501ff61,Lucas Crispim,Pass (Live),e29eff7a,Robson,Pass (Live),19,False
Atlético Mineiro,Fortaleza,1622383200,1dff86ec,Marrony, Atlético Mineiro,0.10,,Off Target,14,Left Foot,,2b15a82a,Guilherme Arana,Pass (Live),5f2caf8f,Tchê Tchê,Pass (Live),22,False
Atlético Mineiro,Fortaleza,1622383200,33a1f72e,Hulk, Atlético Mineiro,0.32,,Off Target,9,Left Foot,Volley,91721722,Jefferson Savarino,Pass (Live),97a17c0b,Ignacio Fernández,Pass (Live),36,False
Atlético Mineiro,Fortaleza,1622383200,33a1f72e,Hulk, Atlético Mineiro,0.79,0.99,Goal,13,Left Foot,,33a1f72e,Hulk,Fouled,1dff86ec,Marrony,Pass (Live),40,True
Atlético Mineiro,Fortaleza,1622383200,cadbabf9,Felipe, Fortaleza,0.06,,Blocked,20,Left Foot,,cadbabf9,Felipe,Take-On,e29eff7a,Robson,Pass (Live),43,False
Atlético Mineiro,Fortaleza,1622383200,a9202def,Éderson, Fortaleza,0.03,,Blocked,35,Right Foot,,e29eff7a,Robson,Pass (Live),a9202def,Éderson,Pass (Live),44,False
