home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,player_id,player,squad,start
Fluminense,Santos,1649532600,14,ar ARG,"FW,AM",34-066,77,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,33.3,9ccf4e14,Germán Cano,Fluminense,True
Fluminense,Santos,1649532600,9,br BRA,"FW,AM",38-188,13,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100.0,acaeba74,Fred,Fluminense,False
Fluminense,Santos,1649532600,21,co COL,"AM,FW",24-200,90,0,0,0,1,4,0,2,1,2,0,0,0,3,0,2,0.0,86d96066,Jhon Arias,Fluminense,True
Fluminense,Santos,1649532600,13,br BRA,"AM,FW",26-027,65,0,0,0,1,1,0,3,0,0,0,0,0,3,4,1,80.0,fa00f0c9,Nathan,Fluminense,True
Fluminense,Santos,1649532600,11,br BRA,"WB,FW",21-097,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,8059806f,Luiz Henrique,Fluminense,False
Fluminense,Santos,1649532600,20,br BRA,CM,27-065,45,0,0,0,0,2,0,4,1,0,0,0,0,2,0,1,0.0,e2add0e7,Yago,Fluminense,True
Fluminense,Santos,1649532600,8,br BRA,CM,24-037,45,0,0,0,0,3,0,3,0,1,0,0,0,3,0,2,0.0,b91a6912,Nonato,Fluminense,False
Fluminense,Santos,1649532600,7,br BRA,CM,20-267,90,0,0,0,2,1,0,1,0,1,0,0,0,7,0,2,0.0,ec604e2c,André,Fluminense,True
Fluminense,Santos,1649532600,15,br BRA,WB,28-223,90,0,0,0,0,1,0,10,0,2,0,0,0,8,0,1,0.0,2567b7b6,Cristiano da Silva Leite,Fluminense,True
Fluminense,Santos,1649532600,31,br BRA,WB,20-041,78,0,0,0,1,1,0,2,0,1,0,0,0,5,1,1,50.0,a564fe91,Lucas Calegari,Fluminense,True
Fluminense,Santos,1649532600,17,br BRA,AM,35-141,12,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,1f85d0c8,Willian,Fluminense,False
Fluminense,Santos,1649532600,44,br BRA,CB,34-323,80,0,0,0,4,1,0,1,2,0,0,0,0,3,5,9,35.7,9313b408,David Braz,Fluminense,True
Fluminense,Santos,1649532600,4,br BRA,CB,30-189,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3cacc0ec,Luccas Claro,Fluminense,False
Fluminense,Santos,1649532600,26,br BRA,CB,32-042,90,1,0,0,3,1,0,2,1,1,0,0,0,8,2,1,66.7,12748e35,Manoel,Fluminense,True
Fluminense,Santos,1649532600,33,br BRA,CB,24-364,90,0,0,0,1,3,0,0,2,1,0,0,0,8,4,0,100.0,d4fa2207,Nino,Fluminense,True
Fluminense,Santos,1649532600,12,br BRA,GK,41-191,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,15825726,Fábio,Fluminense,True
Atlético Goianiense,Flamengo,1649541600,9,br BRA,FW,29-285,81,0,0,0,1,3,0,1,0,1,0,0,0,3,0,2,0.0,598917cf,Wellington Rato,Atlético Goianiense,True
