home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,player_id,player,squad,start
Fluminense,Santos,1649532600,14,ar ARG,"FW,AM",34-066,77,19,18,1,0,0,1,0,0,0,0,0,0,16,0,1,9ccf4e14,Germán Cano,Fluminense,True
Fluminense,Santos,1649532600,9,br BRA,"FW,AM",38-188,13,4,3,1,1,0,0,0,0,0,0,0,0,4,0,0,acaeba74,Fred,Fluminense,False
Fluminense,Santos,1649532600,21,co COL,"AM,FW",24-200,90,42,40,2,0,0,1,2,2,0,0,0,0,39,0,0,86d96066,Jhon Arias,Fluminense,True
Fluminense,Santos,1649532600,13,br BRA,"AM,FW",26-027,65,31,30,1,1,0,0,3,0,0,0,0,0,28,0,0,fa00f0c9,Nathan,Fluminense,True
Fluminense,Santos,1649532600,11,br BRA,"WB,FW",21-097,25,22,22,0,0,0,0,1,0,0,0,0,0,20,0,1,8059806f,Luiz Henrique,Fluminense,False
Fluminense,Santos,1649532600,20,br BRA,CM,27-065,45,29,22,7,3,0,0,4,0,4,2,1,0,21,0,0,e2add0e7,Yago,Fluminense,True
Fluminense,Santos,1649532600,8,br BRA,CM,24-037,45,46,41,5,2,0,0,3,0,3,0,3,0,34,0,1,b91a6912,Nonato,Fluminense,False
Fluminense,Santos,1649532600,7,br BRA,CM,20-267,90,70,68,2,1,0,3,1,1,0,0,0,0,68,0,0,ec604e2c,André,Fluminense,True
Fluminense,Santos,1649532600,15,br BRA,WB,28-223,90,64,57,7,1,0,0,10,5,1,1,0,0,47,0,3,2567b7b6,Cristiano da Silva Leite,Fluminense,True
Fluminense,Santos,1649532600,31,br BRA,WB,20-041,78,57,49,8,1,0,0,2,7,0,0,0,0,48,0,1,a564fe91,Lucas Calegari,Fluminense,True
Fluminense,Santos,1649532600,17,br BRA,AM,35-141,12,5,5,0,0,0,0,0,0,0,0,0,0,3,0,1,1f85d0c8,Willian,Fluminense,False
Fluminense,Santos,1649532600,44,br BRA,CB,34-323,80,62,59,3,3,0,4,1,0,0,0,0,0,50,0,0,9313b408,David Braz,Fluminense,True
